,arc_i_j,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d,i_o,i_d
134,"(6,3)",Neiva,Florencia,226,0.27,Neiva - Florencia,2.934484,-75.2809,1.615386,-75.604236,6,3
60,"(14,12)",Buga,Loboguerrero,56,0.27,Buga - Loboguerrero,3.900508,-76.302189,3.746412,-76.663971,14,12
68,"(30,25)",Cartago,Armenia,56,0.27,Cartago - Armenia,4.747221,-75.911629,4.535,-75.675689,30,25
6,"(4,3)",Altamira,Florencia,53,0.27,Altamira - Florencia,2.063112,-75.787545,1.615386,-75.604236,4,3
63,"(7,5)",Caloto,Popayan,104,0.27,Caloto - Popayan,3.033544,-76.408081,2.444814,-76.614739,7,5
190,"(34,27)",Villeta,Bogota,101,0.27,Villeta - Bogota,5.011346,-74.471083,4.710989,-74.072092,34,27
189,"(34,26)",Villeta,Bogota,101,0.27,Villeta - Bogota,5.011346,-74.471083,4.710989,-74.072092,34,26
139,"(70,65)",Pamplona,Malaga,117,0.27,Pamplona - Malaga,7.37823,-72.650337,6.703858,-72.729891,70,65
188,"(17,11)",Villavicencio,Granada,83,0.27,Villavicencio - Granada,4.151382,-73.63769,3.544831,-73.705281,17,11
141,"(32,25)",Pereira,Armenia,35,0.27,Pereira - Armenia,4.808717,-75.690601,4.535,-75.675689,32,25
142,"(33,25)",Pereira,Armenia,35,0.27,Pereira - Armenia,4.808717,-75.690601,4.535,-75.675689,33,25
143,"(32,30)",Pereira,Cartago,36,0.27,Pereira - Cartago,4.808717,-75.690601,4.747221,-75.911629,32,30
94,"(55,41)",Itagui,La_Felisa,101,0.33,Itagui - La_Felisa,6.167568,-75.614671,5.45025,-75.649796,55,41
194,"(40,37)",Yopal,Aguazul,28,0.33,Yopal - Aguazul,5.348903,-72.400523,5.170847,-72.550819,40,37
175,"(62,52)",Sta_Fe_A,Bolombolo,108,0.33,Sta_Fe_A - Bolombolo,6.52273,-75.823517,6.00008,-75.81665,62,52
11,"(59,61)",Barbosa_Ant,Puerto_Araujo,179,0.33,Barbosa_Ant - Puerto_Araujo,6.438791,-75.334099,6.52273,-74.082355,59,61
181,"(43,49)",Tunja,Barbosa_Boy,72,0.33,Tunja - Barbosa_Boy,5.544642,-73.357557,5.934363,-73.615679,43,49
110,"(36,32)",Manizales,Pereira,45,0.33,Manizales - Pereira,5.070275,-75.513817,4.808717,-75.690601,36,32
